Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0172862370039505,0.0174179252303326,-0.0384256118956641,0,0,0,1.07571326038376,0.00358832536052535,-3.60699795347607E-06,0.00053779355611646,0.00240474106091266,-8.01589910879373E-06,0.00194451963723297,-0.0677738031643562,0.0175,-0.0405824661838448,3.14159265358979,-2.80808253194293E-17,3.14159265358979,package://bowser_color3/meshes/base_link.3dxml,0.752941176470588,0,0,1,-0.0677738031643562,0.0175,-0.0405824661838448,3.14159265358979,-2.80808253194293E-17,3.14159265358979,package://bowser_color3/meshes/base_link.3dxml,,bowser_body_main_back_spine-4;bowser_body_main_back_spine-1;bowser_body_main_back-1;bowser_body_main_back_spine-9;bowser_body_main_back_spine-7;bowser_body_main_back_spine-6;bowser_body_main_back_spine-2;bowser_body_main_back_spine-3;bowser_body_main_back_spine-8;bowser_body_main_front-1;bowser_tire_omni_assem-3/KRS3300_scale-1;bowser_tire_omni_assem-1/KRS3300_scale-1;bowser_body_main_front_servo_mount_center-1;bowser_body_main_front_servo_mount-1;bowser_tire_omni_assem-2/KRS3300_scale-1;bowser_arm_assem_ver2-1/bowser_arm_link4_servo_mount-1;bowser_arm_assem_ver2-1/KRS3300_scale_assem-6/KRS3300_scale-1;bowser_leg_dual_assem-1/bowser_leg_dual_assem_main-1/KRS3300_scale_assem_no_free-1/KRS3300_scale-1;bowser_leg_dual_assem-1/bowser_leg_dual_assem_main-1/bowser_leg_dual_link_main_plate-1;bowser_body_main_front_servo_mount-2;bowser_neck_ring1-1,frame_coodinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link,0.0157358093739623,0.0175000194760971,0.113208576388847,0,0,0,0.0180689507713013,1.78409410220037E-05,2.49031726065835E-19,-1.80531361782166E-06,5.75874297931831E-06,-3.90687971451768E-19,2.11230673079077E-05,0.0129996537980604,0.0175000097237995,0.111998115072616,-1.57772181044202E-30,-0.416510507093253,3.40367924817064E-14,package://bowser_color3/meshes/arm_link.3dxml,1,0.8,0.2,1,0.0129996537980604,0.0175000097237995,0.111998115072616,-1.57772181044202E-30,-0.416510507093253,3.40367924817064E-14,package://bowser_color3/meshes/arm_link.3dxml,,bowser_arm_assem_ver2-1/bowser_arm_link4_servo_hone_double-1,dual_arm_link_coodinate,dual_arm_link_axis,arm,continuous,-0.0105742639612754,0,0.0565812178428716,3.14159265358978,-0.416510507093253,-3.14159265358976,base_link,0,-1,0,,,,,,,,,,,,
left_arm_Link1,-0.0129989001408887,-0.00150141667368094,-0.111996203627668,0,0,0,0.0627449637811829,1.06688193080984E-05,1.12806865940117E-08,1.24972121588296E-08,1.31408513107132E-05,-2.91792138942737E-08,1.07080779111111E-05,-0.0129996379791289,-0.0275000000000007,-0.111998111901088,-3.14159265358978,0.416510507093285,3.14159265358977,package://bowser_color3/meshes/left_arm_Link1.3dxml,0.4,0.4,0.4,1,-0.0129996379791289,-0.0275000000000007,-0.111998111901088,-3.14159265358978,0.416510507093285,3.14159265358977,package://bowser_color3/meshes/left_arm_Link1.3dxml,,bowser_arm_assem_ver2-1/bowser_arm_assem_mirror-1/KRS3300_scale_assem-5/KRS3300_scale-1;bowser_arm_assem_ver2-1/bowser_arm_assem_mirror-1/bowser_arm_link1_ring-1;bowser_arm_assem_ver2-1/bowser_arm_assem_mirror-1/KRS3300_scale_assem-1/KRS3300_scale-1,left_arm_link1_coodinate,left_arm_link1,left_arm1,continuous,0,0.0450000097237984,0,-3.14159265358978,0,3.14159265358979,arm_link,1,0,0,,,,,,,,,,,,
left_arm_link2,0.0311105194600602,-0.0409969832643134,-0.111341046928644,0,0,0,0.0307165638813827,6.21583851473038E-06,-6.15731183185647E-07,5.90914321441834E-07,5.57282258465159E-06,3.27000991004631E-07,5.14887304626213E-06,0.0525445270045691,-0.0610599154065441,-0.11199811190109,3.14159265358979,0.416510507093301,-2.26892802759262,package://bowser_color3/meshes/left_arm_link2.3dxml,1,0.8,0.2,1,0.0525445270045691,-0.0610599154065441,-0.11199811190109,3.14159265358979,0.416510507093301,-2.26892802759262,package://bowser_color3/meshes/left_arm_link2.3dxml,,bowser_arm_assem_ver2-1/bowser_arm_assem_mirror-1/bowser_arm_link1_servo_hone-2;bowser_arm_assem_ver2-1/bowser_arm_assem_mirror-1/KRS3300_scale_assem-2/KRS3300_scale-1,left_arm_link2_coodinate,left_arm_link2,left_arm2,continuous,0,0.0520000000000006,0,0,0,-0.872664625997209,left_arm_Link1,0,0,1,,,,,,,,,,,,
left_arm_link3,0.0535032760272925,-0.0803340900186886,-0.123422732139,0,0,0,0.0461061156498895,1.72773516574559E-05,-3.11357138503664E-07,9.90155626694335E-07,1.32117962385507E-05,-1.06487130093991E-06,1.35770198199857E-05,0.0965348529190694,-0.0621142159478561,-0.1119981119011,3.14159265358979,0.416510507093469,-1.74532925199433,package://bowser_color3/meshes/left_arm_link3.3dxml,1,0.8,0.2,1,0.0965348529190694,-0.0621142159478561,-0.1119981119011,3.14159265358979,0.416510507093469,-1.74532925199433,package://bowser_color3/meshes/left_arm_link3.3dxml,,bowser_arm_assem_ver2-1/bowser_arm_assem_mirror-1/bowser_leg_arm_link2_servo_hone-1;bowser_arm_assem_ver2-1/bowser_arm_assem_mirror-1/bowser_arm_link2_ring-1;bowser_arm_assem_ver2-1/bowser_hand_left_with_claw-1/bowser_hand_left-1;bowser_arm_assem_ver2-1/bowser_hand_left_with_claw-1/bowser_hand_left_claw-1;bowser_arm_assem_ver2-1/bowser_hand_left_with_claw-1/bowser_hand_left_claw-2;bowser_arm_assem_ver2-1/bowser_hand_left_with_claw-1/bowser_hand_left_claw-3;bowser_arm_assem_ver2-1/bowser_hand_left_with_claw-1/bowser_hand_left_claw-4,left_arm_link3_coodinate,left_arm_link3_axis,left_arm3,continuous,0,0.0410000000000002,0,0,0,-0.523598775598285,left_arm_link2,0,0,1,,,,,,,,,,,,
right_arm_link1,-0.0129977296218533,0.0365014166718586,-0.111998849514891,0,0,0,0.0627449637811828,1.07027559542478E-05,-2.91795285604537E-08,-1.83518322201907E-08,1.31408513107132E-05,-1.12798726282984E-08,1.06741412649616E-05,-0.0129996379791242,0.0624999999999976,-0.111998111901089,-3.14159265358979,0.416510507093285,-3.14159265358979,package://bowser_color3/meshes/right_arm_link1.3dxml,0.4,0.4,0.4,1,-0.0129996379791242,0.0624999999999976,-0.111998111901089,-3.14159265358979,0.416510507093285,-3.14159265358979,package://bowser_color3/meshes/right_arm_link1.3dxml,,bowser_arm_assem_ver2-1/KRS3300_scale_assem-5/KRS3300_scale-1;bowser_arm_assem_ver2-1/bowser_arm_link1_ring-1;bowser_arm_assem_ver2-1/KRS3300_scale_assem-1/KRS3300_scale-1,right_arm_link1_coodinate,right_arm_link1,right_arm1,continuous,0,-0.0449999902761989,0,-3.14159265358979,0,-3.14159265358975,arm_link,-1,0,0,,,,,,,,,,,,
right_arm_link2,0.0578997001814015,0.0635212146371717,-0.111262363645809,0,0,0,0.0307165634524258,6.21985664659852E-06,6.56137385732245E-07,5.87261791566758E-07,5.57282257105847E-06,-2.35665652371651E-07,5.1448548775126E-06,0.0793560825137277,0.0835574817455804,-0.111998111901085,3.14159265358979,0.416510507093206,2.26892802759259,package://bowser_color3/meshes/right_arm_link2.3dxml,1,0.8,0.2,1,0.0793560825137277,0.0835574817455804,-0.111998111901085,3.14159265358979,0.416510507093206,2.26892802759259,package://bowser_color3/meshes/right_arm_link2.3dxml,,bowser_arm_assem_ver2-1/bowser_arm_link1_servo_hone-2;bowser_arm_assem_ver2-1/KRS3300_scale_assem-2/KRS3300_scale-1,right_arm_link2_coodinate,right_arm_link2,right_arm2,continuous,0,-0.0520000000000021,0,0,0,0.872664625997206,right_arm_link1,0,0,-1,,,,,,,,,,,,
right_arm_link3,0.0879714647561028,0.0864123042205624,-0.123423028889705,0,0,0,0.046106923561594,1.72778452324343E-05,3.11298817607108E-07,9.90154776697587E-07,1.32119202927426E-05,1.06493325333369E-06,1.35774037718248E-05,0.131003124274489,0.0681919021662189,-0.11199811190109,-3.14159265358975,0.416510507093253,1.74532925199431,package://bowser_color3/meshes/right_arm_link3.3dxml,1,0.8,0.2,1,0.131003124274489,0.0681919021662189,-0.11199811190109,-3.14159265358975,0.416510507093253,1.74532925199431,package://bowser_color3/meshes/right_arm_link3.3dxml,,bowser_arm_assem_ver2-1/bowser_leg_arm_link2_servo_hone-1;bowser_arm_assem_ver2-1/bowser_arm_link2_ring-1;bowser_arm_assem_ver2-1/bowser_hand_right_with_claw-1/bowser_hand_right-2;bowser_arm_assem_ver2-1/bowser_hand_right_with_claw-1/bowser_hand_left_claw-1;bowser_arm_assem_ver2-1/bowser_hand_right_with_claw-1/bowser_hand_left_claw-2;bowser_arm_assem_ver2-1/bowser_hand_right_with_claw-1/bowser_hand_left_claw-3;bowser_arm_assem_ver2-1/bowser_hand_right_with_claw-1/bowser_hand_left_claw-4,right_arm_link3_coodinate,right_arm_link3,right_arm3,continuous,0,-0.0410000000000001,0,0,0,0.5235987755983,right_arm_link2,0,0,1,,,,,,,,,,,,
head_link1,-0.0443253668195235,-0.0180411344768259,0.166095025028365,0,0,0,0.0349073570659508,2.60861897269991E-05,3.23097870701073E-11,-4.6505011442676E-06,1.14931510127951E-05,-1.80235890926358E-10,2.38242106545671E-05,-0.0138318254464297,-0.0174999999999993,0.163972973567231,-5.58997369476623E-16,-0.558505360638182,-3.14159265358979,package://bowser_color3/meshes/head_link1.3dxml,1,0.8,0.2,1,-0.0138318254464297,-0.0174999999999993,0.163972973567231,-5.58997369476623E-16,-0.558505360638182,-3.14159265358979,package://bowser_color3/meshes/head_link1.3dxml,,bowser_neck_servo_hone-1;bowser_head_hone_mouth_axis-1;bowser_head_assem_kari-1/bowser_head_mouth_part2-1,head_link1_coodinate,head_link1_axis,head1,continuous,0.0308486875787339,0,0.0911447511073799,3.14159265358979,0.558505360638182,0,base_link,0,-1,0,,,,,,,,,,,,
head_link2,-0.133552808429979,0.0174768482640115,-0.174909329919878,0,0,0,0.120523131533843,3.97614066108484E-05,-2.02710166821881E-09,-2.02549018711155E-06,2.78371859371647E-05,1.37658817040691E-08,5.38536278077465E-05,-0.111870472348922,0.0175000000000001,-0.152928419695134,3.14159265358979,8.5015291933416E-16,3.14159265358979,package://bowser_color3/meshes/head_link2.3dxml,0.4,0.4,0.4,1,-0.111870472348922,0.0175000000000001,-0.152928419695134,3.14159265358979,8.5015291933416E-16,3.14159265358979,package://bowser_color3/meshes/head_link2.3dxml,,bowser_head_assem_kari-1/KRS3300_scale_assem-1/KRS3300_scale-1;bowser_head_assem_kari-1/bowser_head_mouth_part1-1;bowser_head_assem_kari-1/bowser_head_main_part1-1;bowser_head_assem_kari-1/bowser_head_eye_part-1;bowser_head_assem_kari-1/bowser_head_eyebrows_part_mirror-1;bowser_head_assem_kari-1/bowser_head_eyebrows_part-1;bowser_head_assem_kari-1/bowser_head_eye_part_mirror-1;bowser_head_assem_kari-1/bowser_head_hone_part-1;bowser_head_assem_kari-1/bowser_head_hone_part_mirror-1;bowser_head_assem_kari-1/bowser_head_comb-1,head_link2_coodinate,head_link2_axis,head2,continuous,0,0,-0.0249999999999996,-3.14159265358979,0.558505360638181,0,head_link1,0,1,0,,,,,,,,,,,,
